species,wing_length,secondary,mass
Malacorhynchus membranaceus,183.7,99.1,372.8
Mareca americana,253.2,116.6,754.6
Mareca falcata,238.3,108.5,645.8
Mareca penelope,250.6,107.2,770
Mareca sibilatrix,245,123,923.2
Mareca strepera,251.3,113,915.6
Marmaronetta angustirostris,200.7,104.3,477
Melanitta americana,220,114.8,1117
Melanitta deglandi,270,135.5,1800.2
Melanitta fusca,259.2,126,1800.2
Melanitta nigra,221.1,119.2,1050
Melanitta perspicillata,226.3,109.5,1096.3
Melanitta stejnegeri,267.2,138.6,1800.2
Merganetta armata,163.4,106.4,398.8
Mergellus albellus,187.3,85.5,608.6
Mergus merganser,270.8,145.7,1451
Mergus octosetaceus,196.2,117.1,983
Mergus serrator,233.6,118,1015.2
Mergus squamatus,256.2,131.8,1234
Netta erythrophthalma,208,114.7,780.4
Netta peposaca,230.7,128,1000
Netta rufina,258.3,138.2,1118
Nettapus auritus,149.6,83.2,266
Nettapus coromandelianus,158.5,88.3,391.3
Nettapus pulchellus,168.8,92.8,307
Nomonyx dominicus,138.1,79.8,365
Oressochen jubatus,298,173,1250
Oressochen melanopterus,431.7,279,2037
Oxyura australis,154,88,798
Oxyura ferruginea,157.2,97.8,608.2
Oxyura jamaicensis,139.6,82.8,608.2
Oxyura leucocephala,148.4,77.8,661.1
Oxyura maccoa,156.4,89.2,674
Oxyura vittata,137.9,87,642.7
Plectropterus gambensis,522.6,343.5,3869
Polysticta stelleri,203.6,103.4,806.8
Pteronetta hartlaubii,267,178.4,790
Radjah radjah,270,160.6,885.2
Salvadorina waigiuensis,186,104.8,324
Sarkidiornis melanotos,321,184.4,2610
Sarkidiornis sylvicola,304.5,174.5,2610
Sibirionetta formosa,206,87.7,434
Somateria fischeri,246,135.3,1557.2
Somateria mollissima,280.2,154.5,2060.9
Somateria spectabilis,266.3,136.7,1616.7
Spatula clypeata,226.4,94.2,612.6
Spatula cyanoptera,187.5,90.5,377.5
Spatula discors,178.3,84.6,359.4
Spatula hottentota,147,84.7,276.4
Spatula platalea,209.8,98,465.4
Spatula puna,214,119.6,595.2
Spatula querquedula,188.2,82.2,325.6
Spatula rhynchotis,224.2,101.2,639
Spatula smithii,229.2,113.5,591.5
Spatula versicolor,185,92.2,595.2
Speculanas specularis,261.8,148,1496.1
Stictonetta naevosa,232.5,122.5,903.3
Tachyeres brachypterus,244.8,144.1,3450
Tachyeres leucocephalus,275,167,3013
Tachyeres patachonicus,287,161.5,2821.6
Tachyeres pteneres,260.8,149,4737.6
Tadorna cana,345.2,179.5,1182
Tadorna ferruginea,355.5,180,1235
Tadorna tadorna,313.9,150.4,1146.8
Tadorna tadornoides,353.5,176.5,1418.7
Tadorna variegata,351.2,193.2,1541
Thalassornis leuconotus,166.5,109.2,707.5
Anhima cornuta,553.1,370.5,3150
Chauna chavaria,492.8,321,2557.6
Chauna torquata,517,337.8,4400
Anseranas semipalmata,405.6,269,2393.4
Apteryx australis,0.1,0.1,2320.5
Apteryx haastii,0.1,0.1,2022.7
Apteryx mantelli,0.1,0.1,2320.5
Apteryx owenii,0.1,0.1,1238.3
Apteryx rowi,0.1,0.1,1924
Aceros nipalensis,431.7,338.6,2385
Anorrhinus austeni,327,262.7,933
Anorrhinus galeritus,341,303.5,1172
Anorrhinus tickelli,305.4,243.8,792.6
Anthracoceros albirostris,284.9,237.4,892.9
Anthracoceros coronatus,306.2,263.9,806.7
Anthracoceros malayanus,289.4,276.7,1050
Anthracoceros marchei,274.6,228.9,750
Anthracoceros montani,283.5,228.7,741
