species,wing_length,secondary,mass
Cinnyris nectarinioides,52.5,44.3,4.8
Cinnyris neergaardi,50.8,43.2,6.1
Cinnyris notatus,64.2,54.1,14.6
Cinnyris osea,51.9,45,7.2
Cinnyris oustaleti,52.8,44.8,8.1
Cinnyris pembae,51.4,43.4,8.2
Cinnyris prigoginei,58,51,11.1
Cinnyris pulchellus,56.5,45.9,7
Cinnyris regius,52.7,44.2,6.6
Cinnyris reichenowi,61.3,50.6,6.8
Cinnyris rockefelleri,58,50.6,5.3
Cinnyris rufipennis,54.2,45.4,8.8
Cinnyris shelleyi,58.9,48.2,9
Cinnyris solaris,51.2,43.1,9
Cinnyris sovimanga,51.4,43.9,7.2
Cinnyris stuhlmanni,63.6,54.6,8.8
Cinnyris superbus,72.4,58.4,16.8
Cinnyris talatala,54.1,45.2,8.1
Cinnyris tsavoensis,52.2,45.2,6.8
Cinnyris ursulae,46.8,39.4,6.5
Cinnyris usambaricus,51.8,43.4,8.2
Cinnyris venustus,50.2,43.3,6.6
Cyanomitra alinae,63,53.4,12.6
Cyanomitra bannermani,68.8,56,14
Cyanomitra cyanolaema,67.2,56.7,16.8
Cyanomitra olivacea,58.2,48,9.7
Cyanomitra oritis,59.8,50.5,11.2
Cyanomitra veroxii,59.5,49.7,11.5
Cyanomitra verticalis,61.9,51.3,14.4
Deleornis axillaris,65.5,55.4,11.3
Deleornis fraseri,67.3,58.9,11.3
Drepanorhynchus reichenowi,75.6,62,14.7
Dreptes thomensis,86.5,68.8,26.2
Hedydipna collaris,51.1,44.1,7
Hedydipna metallica,54.2,45,7.2
Hedydipna pallidigaster,49.6,41.9,6.8
Hedydipna platura,55.2,43.3,6.7
Kurochkinegramma hypogrammicum,66.2,57.4,11.4
Leptocoma aspasia,55.3,44.1,8
Leptocoma brasiliana,47,39.4,6.4
Leptocoma calcostetha,56.6,47,8.3
Leptocoma minima,44.3,39.2,4.9
Leptocoma sperata,48.4,37.5,6.4
Leptocoma zeylonica,52.3,44.7,8.8
Nectarinia bocagii,69,57.3,14.8
Nectarinia famosa,68.8,54.4,14.4
Nectarinia johnstoni,76.9,61.8,15.2
Nectarinia kilimensis,70.8,57.5,15.7
Nectarinia purpureiventris,61.8,49.1,11.5
Nectarinia tacazze,76.1,63.7,14.9
Daphoenositta chrysoptera,79.2,54,11.7
Daphoenositta miranda,81.9,58.5,16.8
Daphoenositta papuensis,78.6,56.1,11.7
Nesospingus speculiferus,84.5,68.4,35.2
Nicator chloris,100,89.7,46.1
Nicator gularis,103.4,88.3,45.6
Nicator vireo,80.8,71.6,23.6
Notiomystis cincta,104.3,76.4,93.4
Aleadryas rufinucha,84.8,70.8,40.5
Oreoica gutturalis,101.2,76.2,62.8
Ornorectes cristatus,114.8,97.4,79
Oriolus albiloris,112,82.4,38.6
Oriolus auratus,137.9,93,66.2
Oriolus bouroensis,143.7,112,109
Oriolus brachyrynchus,113.7,86.3,49
Oriolus chinensis,150.9,106.7,82.6
Oriolus chlorocephalus,134.6,99.7,49
Oriolus crassirostris,125.3,96.3,50
Oriolus cruentus,132.5,102,64
Oriolus decipiens,158,125,109
Oriolus flavocinctus,143,110.5,109
Oriolus forsteni,153.9,122.8,109
Oriolus hosii,122.8,92.3,64
Oriolus isabellae,112.8,92.8,46.1
Oriolus kundoo,138.9,93,65.6
Oriolus larvatus,133.9,94.3,66.1
Oriolus melanotis,139.3,108.8,95.2
Oriolus mellianus,144.8,105.1,93
Oriolus monacha,135.3,104,68.5
Oriolus nigripennis,116,84.8,56.7
Oriolus oriolus,151.6,93.8,79
Oriolus percivali,129.6,99.5,61
Oriolus phaeochromus,133.2,105.6,109
Oriolus sagittatus,145.1,102.8,95.2
Oriolus steerii,116.4,87,46.5
Oriolus szalayi,139.2,107.9,95.2
Oriolus tenuirostris,146.1,96,81.4
Oriolus traillii,142.9,107.6,73.7
Oriolus xanthonotus,106.8,80,45
Oriolus xanthornus,133.6,96.6,56.3
Pitohui cerviniventris,113.9,101.2,72
Pitohui dichrous,108.2,92.2,92.9
Pitohui kirhocephalus,113.9,101.2,72
Pitohui uropygialis,122.8,109.2,72
Sphecotheres hypoleucus,126.6,96.2,77.5
Sphecotheres vieilloti,146.8,109,121.5
Sphecotheres viridis,123.7,94.5,121
Orthonyx novaeguineae,83.2,76.1,58.1
Orthonyx spaldingii,122.3,107,149.9
Orthonyx temminckii,88.1,74.8,58.1
Myiobius atricaudus,59.6,51.8,10
Myiobius barbatus,62.5,52.6,11
Myiobius sulphureipygius,66.4,55.5,11.6
Myiobius villosus,68.1,56.7,14.1
Onychorhynchus coronatus,79,64.3,14
Oxyruncus cristatus,92.2,67.2,42
Terenotriccus erythrurus,47.6,39.3,7.4
Colluricincla affinis,93.6,78.7,32.3
Colluricincla boweri,103.1,84.1,43.8
Colluricincla discolor,93.6,78.7,32.3
Colluricincla fortis,93.6,78.7,32.3
Colluricincla harmonica,123.2,100.5,65.8
Colluricincla megarhyncha,93.6,78.7,32.3
Colluricincla obscura,93.6,78.7,32.3
Colluricincla rufogaster,90.7,78.7,32.3
Colluricincla tappenbecki,93.6,78.7,32.3
Colluricincla tenebrosa,95.8,83.3,46
Colluricincla woodwardi,123.2,107.1,54.5
Coracornis raveni,80.5,67.2,36
Coracornis sanghirensis,91.8,76.2,32.3
Melanorectes nigrescens,122.4,103.4,76.9
Pachycephala albiventris,78.2,68.3,21.1
Pachycephala arctitorquis,79.1,64.9,22.4
Pachycephala aurea,87.8,74.9,23.8
Pachycephala balim,91.3,72.6,30.4
Pachycephala caledonica,83,68.1,22.7
Pachycephala chlorura,91.3,72.6,30.4
Pachycephala cinerea,83.4,69.9,21
Pachycephala citreogaster,85.2,72.4,24.4
Pachycephala collaris,91.3,72.6,30.4
Pachycephala feminina,91.3,72.6,30.4
Pachycephala flavifrons,83.2,66.3,41.5
Pachycephala fuliginosa,82.8,69.7,23.8
Pachycephala fulvotincta,79,67.2,30.4
Pachycephala griseonota,78.9,64.3,22.4
Pachycephala homeyeri,81.7,70.6,25.8
Pachycephala hyperythra,87.4,70.7,27.7
Pachycephala hypoxantha,83.6,70,22.3
Pachycephala implicata,89.6,77.1,34.5
Pachycephala inornata,99,79.6,30.8
Pachycephala jacquinoti,100.3,77.6,36
Pachycephala lanioides,94.6,81.4,38.7
Pachycephala leucogastra,82.3,65.5,18.5
Pachycephala lorentzi,87.3,69.4,19.4
Pachycephala macrorhyncha,91.4,75.6,26.9
Pachycephala melanorhyncha,93.6,78.7,32.3
Pachycephala melanura,82.8,69.7,23.8
Pachycephala mentalis,88.6,72.6,30.4
Pachycephala meyeri,77.9,63.1,19
Pachycephala modesta,84.3,67.5,18.3
Pachycephala monacha,85.1,66,26
Pachycephala nudigula,99.6,84.4,34.5
Pachycephala olivacea,97.3,80.4,41.2
Pachycephala orioloides,90.9,75.7,42.7
Pachycephala orpheus,73.2,61.5,15.5
Pachycephala pectoralis,91.3,72.6,30.4
Pachycephala phaionota,84.2,67.5,24.8
Pachycephala philippinensis,81.6,68.7,22.3
Pachycephala richardsi,89.6,77.1,34.5
Pachycephala rufiventris,92.7,70.2,22.5
Pachycephala rufogularis,109.7,84.3,36.6
Pachycephala schlegelii,86.8,70.4,22.7
Pachycephala simplex,76.2,65.3,17.4
Pachycephala soror,87.9,72.4,24.8
Pachycephala sulfuriventer,81.5,68.6,21.4
Pachycephala tenebrosa,96.3,79.3,46
Pachycephala vanikorensis,91.3,72.6,30.4
Pachycephala vitiensis,91.2,72.9,30.4
Pseudorectes ferrugineus,134.1,113.8,93.9
Pseudorectes incertus,111.6,97.9,75
Panurus biarmicus,60,46.8,13.8
Astrapia mayeri,169.2,154.1,139.3
Astrapia nigra,179.2,154.2,190
Astrapia rothschildi,183.9,152.7,181.4
Astrapia splendidissima,131.3,118.3,131.3
Astrapia stephaniae,155.8,137.6,141.8
Cicinnurus magnificus,113.1,95.9,89.8
Cicinnurus regius,102.6,94.8,51.6
Cicinnurus respublica,95.6,80.6,58.4
Drepanornis albertisi,147.6,128.9,110
Drepanornis bruijnii,156.8,126.5,153.3
Epimachus fastosus,189.2,163,232.9
Epimachus meyeri,175.1,153.7,220.5
Lophorina minor,129,105,76.7
Lophorina niedda,138,118.9,76.7
Lophorina superba,121,101.8,76.7
Lycocorax pyrrhopterus,196.5,167.6,283.9
Manucodia ater,179.1,161.6,228
Manucodia chalybatus,171.5,154.6,215.9
Manucodia comrii,233.1,210.7,432.7
Manucodia jobiensis,168,151.2,202.6
Paradigalla brevicauda,151.1,139.3,167.9
Paradigalla carunculata,169.1,158.6,170
Paradisaea apoda,212.8,179.8,172
Paradisaea decora,167.1,142.8,237
Paradisaea guilielmi,173,151.8,256
Paradisaea minor,178.4,153.5,207.9
Paradisaea raggiana,188.5,160.1,212.6
Paradisaea rubra,171.1,151.5,178.2
Paradisaea rudolphi,151.7,131.8,164.1
Parotia berlepschi,151,136.5,163.2
Parotia carolae,149.1,136.6,163.2
Parotia lawesii,150.6,138.5,161.4
Parotia sefilata,156.6,142.4,181.7
Parotia wahnesi,161.7,138.2,158
Phonygammus keraudrenii,159.1,142.2,154.7
Pteridophora alberti,120.9,98.7,81.8
Ptiloris intercedens,172.6,154.6,158
Ptiloris magnificus,167.3,157.6,149.9
Ptiloris paradiseus,150.7,139.8,119.5
Ptiloris victoriae,130,122,95
Seleucidis melanoleucus,170,152.9,174.4
Semioptera wallacii,151.4,135.4,148.3
Oreocharis arfaki,70,56.2,19.7
Paramythia montium,101,79.2,41.8
Pardalotus punctatus,56.5,41.3,8.7
Pardalotus quadragintus,57.8,42.6,10.7
Pardalotus rubricatus,63.2,45.6,10.9
Pardalotus striatus,63.7,48.3,11.4
Baeolophus atricristatus,72,61.4,17.5
Baeolophus bicolor,77.9,65.2,21.6
Baeolophus inornatus,68,57.4,15.9
Baeolophus ridgwayi,72.5,64.8,15.9
Baeolophus wollweberi,64,53.5,10.4
Cephalopyrus flammiceps,59.5,42.4,7
Cyanistes caeruleus,65.6,51.8,11.1
Cyanistes cyanus,69,55.7,14.6
Cyanistes teneriffae,59.7,51.2,10
Lophophanes cristatus,64,51.3,11
Lophophanes dichrous,68.2,55.7,13.8
Machlolophus aplonotus,71.2,58.3,14.8
Machlolophus holsti,74.5,61.5,16.7
Machlolophus nuchalis,65,55.9,13.8
Machlolophus spilonotus,76.5,64,18.8
Machlolophus xanthogenys,70.8,59,14.8
Melaniparus afer,73,60.1,20.2
Melaniparus albiventris,82,67,21.2
Melaniparus carpi,78,64.9,18.6
Melaniparus cinerascens,79.2,65,20
Melaniparus fasciiventer,77.8,64.5,15.2
Melaniparus fringillinus,71.8,60.8,13.8
Melaniparus funereus,85.2,69.4,25.4
Melaniparus griseiventris,77.2,62.4,15.5
Melaniparus guineensis,77,64.8,16.1
Melaniparus leucomelas,86.6,70.6,16.1
Melaniparus leuconotus,78.5,67.3,16.7
Melaniparus niger,80.8,66.7,21.5
Melaniparus rufiventris,79.6,66.3,18.2
Melaniparus thruppi,63.8,54.4,12
Melanochlora sultanea,106.3,83.2,37.6
Parus cinereus,63.1,51.7,14.4
Parus major,74.2,60.6,16.3
Parus minor,66,53.2,15.5
Parus monticolus,66.2,55.9,14
Periparus amabilis,65.1,53.6,12.7
Periparus ater,61.1,47.9,9.2
Periparus elegans,61.2,52.5,12.8
Periparus rubidiventris,69.6,56.6,11.8
Periparus rufonuchalis,74.5,61.3,12.6
Periparus venustulus,63.2,47.9,10.6
Poecile atricapillus,64.4,52.5,10.8
Poecile carolinensis,58.8,47,10
Poecile cinctus,67.3,54.1,11.4
Poecile davidi,64.3,54,10.3
Poecile gambeli,68.8,55.5,11.2
Poecile hudsonicus,64.8,52.8,9.8
Poecile hypermelaenus,63.9,53.9,11.1
Poecile hyrcanus,74.6,63.4,15.8
Poecile lugubris,74.6,63.4,15.8
Poecile montanus,65.5,53.9,11.1
Poecile palustris,64,52.5,11.1
Poecile rufescens,61.1,50.2,9.4
Poecile sclateri,67.8,56,10.1
Poecile superciliosus,63.5,54.9,10.7
Poecile weigoldicus,59.9,49.4,11.1
Pseudopodoces humilis,88.6,73.5,45.4
Sittiparus castaneoventris,73.8,59.2,17
Sittiparus olivaceus,73.8,59.2,17
Sittiparus owstoni,73.8,59.2,17
Sittiparus semilarvatus,74.2,58.5,18
Sittiparus varius,73.8,59.2,17
Sylviparus modestus,59.4,46.5,7.1
Basileuterus belli,59.7,50.5,10.7
Basileuterus culicivorus,58.5,49.2,10.5
Basileuterus delattrii,56.6,48.6,10.4
Basileuterus griseiceps,62.1,54,13
Basileuterus ignotus,55,48,10.9
Basileuterus lachrymosus,74.3,61.9,25.6
Basileuterus melanogenys,62.6,54.3,11.8
Basileuterus melanotis,59.8,55.2,12
Basileuterus rufifrons,51.1,44.6,10.4
Basileuterus tacarcunae,61.3,52.7,13.2
Basileuterus trifasciatus,56.8,48.9,9.7
Basileuterus tristriatus,61.3,52.7,12
Cardellina canadensis,62.5,47.3,10
Cardellina pusilla,56.3,44.1,7
Cardellina rubra,61.2,50.9,8.1
Cardellina rubrifrons,67.5,53.1,8.1
Cardellina versicolor,60.7,50.6,10
Catharopeza bishopi,66.6,52.7,15.1
Geothlypis aequinoctialis,57.9,49.7,13.1
Geothlypis beldingi,61.3,50.9,15.7
Geothlypis flavovelata,54,44.5,10.9
Geothlypis formosa,66.9,50,14
Geothlypis nelsoni,52.2,46.5,11
Geothlypis philadelphia,59,44.7,11.7
Geothlypis poliocephala,55.3,49.6,14.6
Geothlypis rostrata,62.5,52.8,16.1
Geothlypis semiflava,57.6,50.4,17.2
Geothlypis speciosa,56.2,48.7,10.8
Geothlypis tolmiei,58.1,44.5,10.4
Geothlypis trichas,54.7,44.3,9.5
Helmitheros vermivorum,68.3,50.6,14.2
Leiothlypis celata,59.9,46,9.2
Leiothlypis crissalis,61.2,49.4,9.3
Leiothlypis luciae,55.6,42.4,6.6
Leiothlypis peregrina,62.5,47.6,8.9
Leiothlypis ruficapilla,56.8,43.4,8.1
Leiothlypis virginiae,61.1,48.7,8.2
Leucopeza semperi,67.2,55.9,19.8
Limnothlypis swainsonii,71.6,53.9,18.9
Mniotilta varia,68.8,49.7,10.9
Myioborus albifacies,63,52.4,15
Myioborus albifrons,67,57.2,11.3
Myioborus brunniceps,62.5,53.6,9.2
Myioborus cardonai,64,53.5,10.9
Myioborus castaneocapilla,63.3,54.9,10.9
Myioborus flavivertex,62.2,50.1,15
Myioborus melanocephalus,66,55.4,11.3
Myioborus miniatus,63.6,52,9
Myioborus ornatus,68.7,58.8,11.7
Myioborus pariae,60,49.8,10.9
Myioborus pictus,73.2,58.4,9.8
Myioborus torquatus,64.5,53.9,10.5
Myiothlypis basilica,65,53.7,16.2
Myiothlypis bivittata,64.7,55.4,14.6
Myiothlypis chrysogaster,61.1,50.4,11.2
Myiothlypis cinereicollis,62.5,51.2,17.2
Myiothlypis conspicillata,64.6,55.3,13.7
Myiothlypis coronata,68.3,58.6,16.3
Myiothlypis flaveola,66.3,56.1,13.2
Myiothlypis fraseri,65,56.1,11.6
Myiothlypis fulvicauda,63.3,54.5,14.9
Myiothlypis leucoblephara,64.4,54.2,15.1
Myiothlypis leucophrys,62.6,53.3,18.1
Myiothlypis luteoviridis,66.5,57.5,12.9
Myiothlypis nigrocristata,61.5,55.6,13.6
Myiothlypis rivularis,64.6,54.9,13.5
Myiothlypis signata,58.5,50.5,11.3
Oporornis agilis,71.3,48.8,13.3
Oreothlypis gutturalis,64,49.4,9.5
Oreothlypis superciliosa,62.3,46.9,9
Parkesia motacilla,79.8,56.1,19.9
Parkesia noveboracensis,73.9,54.2,16.3
Protonotaria citrea,68.9,48.9,14.3
Seiurus aurocapilla,73.2,55.1,18.8
Setophaga adelaidae,50.1,44.4,6.9
Setophaga americana,57.6,39.9,7.8
Setophaga angelae,52.6,42.3,7.7
Setophaga caerulescens,62.2,47,10.1
Setophaga castanea,69.9,50.2,11.8
Setophaga cerulea,65.6,44,9
Setophaga chrysoparia,61.7,48.5,9.9
Setophaga citrina,64.7,49.7,10.5
Setophaga coronata,73.8,55.2,11.9
Setophaga delicata,54.8,44.3,7.4
Setophaga discolor,55.5,44.4,7.6
Setophaga dominica,67.7,49,9.7
Setophaga flavescens,65,49.1,9
Setophaga fusca,65.7,45.6,9.7
Setophaga graciae,65.1,48.4,8.1
Setophaga kirtlandii,70,55.7,13.9
Setophaga magnolia,58.4,46.9,8.1
Setophaga nigrescens,63.2,48.5,8.7
Setophaga occidentalis,66.9,48.8,10.4
Setophaga palmarum,63.7,50.4,10.3
Setophaga pensylvanica,61.6,46.5,9.3
Setophaga petechia,60.2,45.7,10.2
Setophaga pharetra,62.2,51.8,9.9
Setophaga pinus,71.8,51.2,11.8
Setophaga pitiayumi,52.7,42.7,6.8
Setophaga pityophila,58,44,8
Setophaga plumbea,61.3,48.9,10.1
Setophaga ruticilla,62,48,8.2
Setophaga striata,74.3,51.1,11.8
Setophaga subita,50.6,43.9,7.6
Setophaga tigrina,65.7,48.2,10
Setophaga townsendi,63.8,46.1,8.8
Setophaga virens,62.1,45.6,8.7
Setophaga vitellina,56.6,47.6,6.7
Vermivora bachmanii,59.2,46.6,8.6
Vermivora chrysoptera,60.6,44.9,8.7
Vermivora cyanoptera,58.3,42.6,8.9
Aimophila notosticta,67.1,61.5,27.1
Aimophila rufescens,73.6,66.6,34.3
Aimophila ruficeps,59.9,52.2,18.7
Ammodramus aurifrons,58.3,52.5,17.8
Ammodramus humeralis,56.4,53.9,16
Ammodramus savannarum,58.2,46,17.6
Ammospiza caudacuta,56.8,46.1,19.2
Ammospiza leconteii,53,43.1,13
Ammospiza maritima,60.6,51.8,22.2
Ammospiza nelsoni,56.4,44.1,15.1
Amphispiza bilineata,63.5,52.2,13.5
Amphispizopsis quinquestriata,68.8,60.5,19.5
Arremon abeillei,74.2,66.3,25.9
Arremon assimilis,83.6,79.8,39
Arremon atricapillus,84.8,77.1,44.6
Arremon aurantiirostris,72.7,65.1,34.5
Arremon basilicus,80.5,72.8,42
Arremon brunneinucha,80.8,74.9,44
Arremon castaneiceps,78.4,71,36.9
Arremon costaricensis,80.5,72.8,42
Arremon crassirostris,64.6,54.5,38.7
Arremon dorbignii,72.2,64.6,26.1
Arremon flavirostris,70.8,65.9,26.1
Arremon franciscanus,72.2,64.5,24.9
Arremon perijanus,80.5,72.8,42
Arremon phaeopleurus,80.5,72.8,42
Arremon phygas,80.5,72.8,42
Arremon schlegeli,71.5,65.9,27.7
Arremon semitorquatus,70,65.8,25
Arremon taciturnus,72,64.5,24.8
Arremon torquatus,80.5,72.8,42
Arremon virenticeps,83.3,74.1,41
Arremonops chloronotus,66,61.5,27.4
Arremonops conirostris,73.7,70.1,35.9
Arremonops rufivirgatus,65.3,59.7,22.4
Arremonops tocuyensis,63.8,59.4,29.4
Artemisiospiza belli,65,53.8,17
Artemisiospiza nevadensis,75,60.8,18.5
Atlapetes albiceps,73,65.6,37
Atlapetes albinucha,73.3,69.2,33.8
Atlapetes albofrenatus,72,62.5,30
Atlapetes blancae,72.2,64.3,28
Atlapetes canigenis,73.2,65.8,26.6
Atlapetes citrinellus,69,61,28
Atlapetes flaviceps,71,63,33.7
Atlapetes forbesi,79,70.4,32.2
Atlapetes fulviceps,75.1,64.1,28.2
Atlapetes fuscoolivaceus,71.5,62.1,32.5
Atlapetes latinuchus,74.6,65.1,23.6
Atlapetes leucopis,79.8,69.1,43
Atlapetes leucopterus,68.8,59.1,20.8
Atlapetes luteoviridis,80.5,70.8,30
Atlapetes melanocephalus,70.5,60.2,25
Atlapetes melanolaemus,70.4,63.8,28.9
Atlapetes melanopsis,76,65.6,29.6
Atlapetes nationi,81,73.5,41.6
Atlapetes pallidiceps,77.5,68.4,27.5
Atlapetes pallidinucha,77.6,68.2,34.6
Atlapetes personatus,78.4,68.5,32.7
Atlapetes pileatus,67.1,59.6,24
Atlapetes rufigenis,85.6,74.4,32.2
Atlapetes rufinucha,69.9,61.4,21.5
Atlapetes schistaceus,75.7,66.5,28
Atlapetes seebohmi,71.8,65,29.5
Atlapetes semirufus,71.8,64.9,30.7
Atlapetes terborghi,71.9,64.7,27.8
Atlapetes tibialis,79.8,70.4,30
Atlapetes tricolor,77.2,67.1,36.5
Calamospiza melanocorys,86.6,64.9,37.6
Centronyx bairdii,65.6,53,18.1
Centronyx henslowii,54.7,45.8,12.8
Chlorospingus canigularis,69.2,56.5,18
Chlorospingus flavigularis,79.3,65.2,25.6
Chlorospingus flavopectus,67.3,55.8,20
Chlorospingus inornatus,76.9,65.2,28
Chlorospingus parvirostris,71.5,59.6,24
Chlorospingus pileatus,65,55.6,21
Chlorospingus semifuscus,69.2,58.6,19
Chlorospingus tacarcunae,63.9,53.5,18.9
Chondestes grammacus,85.5,60.9,29
Junco bairdi,77.7,61.3,20.4
Junco hyemalis,75.2,58.6,19.5
Junco insularis,66.8,53.5,22
Junco phaeonotus,77.7,61.3,20.4
Junco vulcani,77.9,67,28
Melospiza georgiana,62.3,50.4,16.1
Melospiza lincolnii,64,49.7,16.6
Melospiza melodia,66.3,52.6,21.9
Melozone aberti,89.7,78.2,45.9
Melozone albicollis,81,71.3,46.4
Melozone biarcuata,71.6,64.8,30.6
Melozone cabanisi,66.5,61.6,28
Melozone crissalis,88.8,77.1,52.8
Melozone fusca,93.4,79.2,44.4
Melozone kieneri,79.8,71.9,38.7
Melozone leucotis,81.8,74.6,39.9
Oreothraupis arremonops,80,72.7,48
Oriturus superciliosus,79,66.8,41.4
Passerculus sandwichensis,72.8,55.2,20
Passerella iliaca,83.7,61.9,33.3
Peucaea aestivalis,59,48.9,19.6
Peucaea botterii,63.9,55.4,19.9
Peucaea carpalis,60.2,52.8,15.3
Peucaea cassinii,66.6,56.2,18.9
Peucaea humeralis,67,59.8,23.9
Peucaea mystacalis,70.8,64.3,22.2
Peucaea ruficauda,75.2,67.1,28.2
Peucaea sumichrasti,69.4,63,29.4
Pezopetes capitalis,89.6,79.2,55.8
Pipilo chlorurus,77.6,64.9,29.4
Pipilo erythrophthalmus,82.3,70.8,40
Pipilo maculatus,84.3,74,39.3
Pipilo ocai,84.5,74.4,61
Pooecetes gramineus,78.6,60,25.7
Rhynchospiza dabbenei,76,64.5,22.2
Rhynchospiza stolzmanni,68,62.3,25.6
Rhynchospiza strigiceps,62.3,53.8,22.2
Spizella atrogularis,60.6,50.4,11.3
Spizella breweri,62.8,50.1,10.9
Spizella pallida,60.8,49,11.2
Spizella passerina,68,51,12.2
Spizella pusilla,64.4,53.5,12.5
Spizella wortheni,66.5,54.3,12.4
Spizelloides arborea,72.2,58.5,17.8
Torreornis inexpectata,64.4,59.6,25.5
Xenospiza baileyi,61.1,53,17.4
Zonotrichia albicollis,72.8,58.1,24.4
Zonotrichia atricapilla,78.2,60.9,32
Zonotrichia capensis,63.9,56.8,20.3
Zonotrichia leucophrys,78.7,60.9,28
Zonotrichia querula,86.9,66.3,35.5
Carpospiza brachydactyla,93.6,55,22.3
Gymnoris dentata,78.4,57.9,18.4
Gymnoris pyrgita,86.4,66.9,24.1
Gymnoris superciliaris,89.5,66.9,24
Gymnoris xanthocollis,80.1,56.9,18.1
Hypocryptadius cinnamomeus,91.1,69.9,30
Montifringilla adamsi,107.2,71.5,31.3
Montifringilla blanfordi,93.7,59.3,23.7
Montifringilla davidiana,84.2,55.4,21.2
Montifringilla henrici,116.6,73,40
Montifringilla nivalis,119,73.6,36.9
Montifringilla ruficollis,92.3,59.9,22.8
Montifringilla taczanowskii,103.4,74.5,32.5
Montifringilla theresae,91.2,60.9,24.3
Passer ammodendri,77.4,57.8,28.9
Passer castanopterus,69.2,54.8,18
Passer cinnamomeus,69,46.7,18.5
Passer cordofanicus,73.1,60.5,22
Passer diffusus,80.7,62.4,24.2
Passer domesticus,74.9,54.4,26.5
Passer eminibey,59.7,47.7,13.4
Passer euchlorus,59.1,48.6,14
Passer flaveolus,69.8,51.4,19.4
Passer gongonensis,95.4,73.6,39.9
Passer griseus,78.9,62.5,27.8
Passer hemileucus,69.5,57,30.2
Passer hispaniolensis,76.3,56.4,24.2
Passer iagoensis,59.7,48.2,31.5
Passer insularis,73.2,62.5,27.3
Passer italiae,76.9,56.9,28.3
Passer luteus,62.6,49.1,11.2
Passer melanurus,74.6,57,29.5
Passer moabiticus,58.9,46.8,16.5
Passer montanus,67.9,51.2,21.4
Passer motitensis,77.5,63.2,30.2
Passer pyrrhonotus,66.2,49.4,22
Passer rufocinctus,74.9,56.9,27.8
Passer shelleyi,70.2,54.1,22
Passer simplex,75.8,56.1,19.5
Passer suahelicus,83.9,67.8,25
Passer swainsonii,87,68.3,31.6
Passer zarudnyi,72.9,55.1,19.5
Petronia petronia,93,61.8,30.2
Gampsorhynchus rufulus,98,90.1,37
Gampsorhynchus torquatus,98.8,89.3,37
Graminicola bengalensis,56.2,52,14.6
Graminicola striatus,56.2,52,14.6
Gypsophila annamensis,79.8,73.9,27
Gypsophila brevicaudata,60.8,56.7,19.5
Gypsophila calcicola,79.8,73.9,27
Gypsophila crassa,68.4,64.2,26.8
Gypsophila crispifrons,79.8,73.9,27
Gypsophila rufipectus,90.2,85.1,37
Illadopsis albipectus,73.2,66.6,30.6
Illadopsis cleaveri,72.7,64.6,30.8
Illadopsis fulvescens,70,65.9,27.9
Illadopsis puveli,84.2,77.8,48.4
Illadopsis pyrrhoptera,70.8,63.4,24.8
Illadopsis rufescens,78.5,72.4,37
Illadopsis rufipennis,69.7,63,22.2
Illadopsis turdina,104.8,93.7,65.8
Kenopia striata,67.3,62,19.9
Laticilla burnesii,56.2,52,19
Laticilla cinerascens,51,48.3,19
Malacocincla abbotti,73.2,65.9,26.8
Malacocincla perspicillata,86.9,67.1,25.5
Malacocincla sepiaria,73.2,67.1,25.5
Malacopteron affine,72.1,65.6,17.1
Malacopteron albogulare,74.6,65.2,16.5
Malacopteron cinereum,76.5,66.9,18.1
Malacopteron magnirostre,76.6,65.8,19.3
Malacopteron magnum,84.8,75,27.2
Malacopteron palawanense,85.1,77.2,32.1
Napothera albostriata,62.5,58,19.4
Napothera danjoui,79.3,74.4,35.5
Napothera epilepidota,55.1,49.7,16
Napothera malacoptila,57.6,53.6,19.4
Napothera naungmungensis,78,74.8,35.5
Napothera pasquieri,59.5,55.8,19.4
Pellorneum albiventre,54.9,50.6,21.5
Pellorneum bicolor,84.3,75,27.2
Pellorneum buettikoferi,65.8,59.9,17.1
Pellorneum capistratum,67.9,62.9,25.1
Pellorneum celebense,74.8,61.9,23.6
Pellorneum cinereiceps,63,58,23.9
Pellorneum fuscocapillus,70,63.7,30
Pellorneum malaccense,69,63.6,21.4
Pellorneum palustre,63.1,58.1,21.5
Pellorneum pyrrogenys,64.9,56,23.2
Pellorneum rostratum,70.4,60.7,21
Pellorneum ruficeps,69,65.1,26
Pellorneum tickelli,62.2,55.1,17.1
Ptilocichla falcata,83,76.7,39.5
Ptilocichla leucogrammica,79.8,74.8,39.5
Ptilocichla mindanensis,68.8,63.9,29.2
Schoeniparus brunneus,59.1,52.9,17.4
Schoeniparus castaneceps,53.7,45.6,12.5
Schoeniparus cinereus,53.5,47,11
Schoeniparus dubius,57.1,52.3,18
Schoeniparus klossi,55.8,49.4,12.5
Schoeniparus rufogularis,55.7,49.1,13.2
Schoeniparus variegaticeps,54.3,46.6,13.2
Turdinus atrigularis,99.8,89.8,66.3
Turdinus macrodactylus,88.8,80.2,48.7
Turdinus marmoratus,94.8,87.4,41
Amalocichla incerta,75.6,66.8,32.7
Amalocichla sclateriana,102.4,94.3,54.7
Drymodes beccarii,96,84.8,45.9
Drymodes brunneopygia,91.9,78,33
Drymodes superciliaris,99,84.8,45.9
Eopsaltria australis,84.7,62.2,20.2
Eopsaltria flaviventris,73,56.9,13
